table,row_count
atom_anchors,3754
atom_codebook,3754
atom_distance_basis,3754
atom_flat_index,3754
atom_links,151416
atom_memberships,26306
atom_projection_codebook,151416
atom_source_map,3754
build_meta,27
char_atom_bridge,867479
clean_atoms,3754
container_codebook,7044
container_hierarchy,11857
container_index,7044
coordinate_reading_rules,7
distance_metric_rules,6
quality_findings,34
retired_source_refinement_quality,2706
retired_source_segment_lookup,2706
retired_source_to_atom_map,3754
term_atom_occurrences,2836240
