relative_path,size_bytes,human_size,extension,channel,sha256
00_域门/NEXT.md,375,375 B,.md,A_DIRECT_GIT,
00_域门/README.md,698,698 B,.md,A_DIRECT_GIT,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/工作事务推进驾驶舱桌面入口.command,1161,1.1 KiB,.command,A_DIRECT_GIT,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/README.md,1074,1.0 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/box/skills/box/README.md,2491,2.4 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/build-ios-apps/README.md,1616,1.6 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/build-macos-apps/README.md,3155,3.1 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/build-web-apps/README.md,527,527 B,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/build-web-apps/skills/react-best-practices/README.md,3360,3.3 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/build-web-apps/skills/supabase-best-practices/README.md,3175,3.1 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/README.md,3371,3.3 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/agents-sdk/README.md,2763,2.7 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/ai-gateway/README.md,6299,6.2 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/ai-search/README.md,4517,4.4 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/analytics-engine/README.md,3195,3.1 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/api/README.md,2381,2.3 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/api-shield/README.md,1796,1.8 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/argo-smart-routing/README.md,4060,4.0 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/bindings/README.md,4042,3.9 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/bot-management/README.md,3762,3.7 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/browser-rendering/README.md,3092,3.0 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/c3/README.md,3352,3.3 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/cache-reserve/README.md,5609,5.5 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/containers/README.md,3531,3.4 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/cron-triggers/README.md,2945,2.9 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/d1/README.md,4719,4.6 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/ddos/README.md,2054,2.0 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/do-storage/README.md,2755,2.7 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/durable-objects/README.md,6531,6.4 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/email-routing/README.md,3423,3.3 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/email-workers/README.md,5364,5.2 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/graphql-api/README.md,7769,7.6 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/hyperdrive/README.md,2918,2.8 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/images/README.md,2900,2.8 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/kv/README.md,2883,2.8 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/miniflare/README.md,2976,2.9 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/network-interconnect/README.md,3230,3.2 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/observability/README.md,3887,3.8 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/pages/README.md,2834,2.8 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/pages-functions/README.md,3321,3.2 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/pipelines/README.md,3390,3.3 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/pulumi/README.md,3231,3.2 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/queues/README.md,3058,3.0 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/r2/README.md,2823,2.8 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/r2-data-catalog/README.md,7105,6.9 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/r2-sql/README.md,5209,5.1 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/realtime-sfu/README.md,3078,3.0 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/realtimekit/README.md,4047,4.0 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/sandbox/README.md,3113,3.0 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/secrets-store/README.md,2215,2.2 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/smart-placement/README.md,5023,4.9 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/snippets/README.md,3132,3.1 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/spectrum/README.md,2355,2.3 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/static-assets/README.md,2197,2.1 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/stream/README.md,3864,3.8 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/tail-workers/README.md,3020,2.9 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/terraform/README.md,3672,3.6 KiB,.md,D_LOCAL_RUNTIME_ONLY,
00_域门/来源路径保留/2026-06-14/skill-2/outputs/work-cockpit-prototype/runtime/work_plan_recall_worker/codex_home/.tmp/plugins/plugins/cloudflare/skills/cloudflare/references/tunnel/README.md,3641,3.6 KiB,.md,D_LOCAL_RUNTIME_ONLY,
